Point,Pre-Op 3D [X],Pre-Op 3D [Y],Pre-Op 3D [Z],Planned 3D [X],Planned 3D [Y],Planned 3D [Z],Delta 3D,Delta X,Delta X Direction,Delta Y,Delta Y Direction,Delta Z,Delta Z Direction
LO R1-1,-34.23,-57.59,-29.54,,,,,,,,,,
LO R1-2,-33.62,-59.98,-28.78,,,,,,,,,,
LO R1-3,-31.53,-62.14,-27.51,,,,,,,,,,
LO R1-4,-29.69,-63.66,-26.29,,,,,,,,,,
LO R1-5,-27.71,-64.58,-25.17,,,,,,,,,,
LO R1-6,-25.58,-66.66,-24.3,,,,,,,,,,
LO R1-7,-22.26,-70.59,-23.33,,,,,,,,,,
LO R1-8,-18.97,-72.63,-22.57,,,,,,,,,,
LO R1-9,-15.29,-75.03,-22.14,,,,,,,,,,
LO R1-10,-12.62,-76.8,-21.74,,,,,,,,,,
CT R1-1,-33.87,-58.81,-29.39,,,,,,,,,,
CT R1-2,-31.42,-61.31,-28.72,,,,,,,,,,
CT R1-3,-28.99,-62.86,-27.99,,,,,,,,,,
CT R1-4,-26.32,-64.24,-27.14,,,,,,,,,,
CT R1-5,-23.62,-68.43,-26.39,,,,,,,,,,
CT R1-6,-21.02,-70.77,-25.6,,,,,,,,,,
CT R1-7,-18.28,-72.62,-24.79,,,,,,,,,,
CT R1-8,-15.7,-74.58,-24.07,,,,,,,,,,
CT R1-9,-13.05,-74.94,-23.25,,,,,,,,,,
CT R1-10,-10.55,-70.26,-22.49,,,,,,,,,,
LO L1-1,11.25,-75.3,-24.77,,,,,,,,,,
LO L1-2,13.11,-75.45,-25.65,,,,,,,,,,
LO L1-3,14.91,-73.88,-27.08,,,,,,,,,,
LO L1-4,17.05,-72.32,-28.29,,,,,,,,,,
LO L1-5,19.46,-70.32,-29.68,,,,,,,,,,
LO L1-6,21.83,-67.98,-31.25,,,,,,,,,,
LO L1-7,24.42,-64.37,-32.37,,,,,,,,,,
LO L1-8,26.23,-61.72,-33.62,,,,,,,,,,
LO L1-9,28.13,-58.52,-34.17,,,,,,,,,,
LO L1-10,29.34,-43.56,-35.1,,,,,,,,,,
CT L1-1,9.82,-66.25,-24.74,,,,,,,,,,
CT L1-2,11.91,-76.06,-25.76,,,,,,,,,,
CT L1-3,14.26,-74.46,-26.85,,,,,,,,,,
CT L1-4,16.44,-72.95,-28.01,,,,,,,,,,
CT L1-5,18.9,-70.95,-29.17,,,,,,,,,,
CT L1-6,21.22,-68.82,-30.33,,,,,,,,,,
CT L1-7,23.68,-65.53,-31.58,,,,,,,,,,
CT L1-8,26.09,-61.99,-32.74,,,,,,,,,,
CT L1-9,28.13,-58.47,-33.9,,,,,,,,,,
CT L1-10,29.29,-44.86,-34.55,,,,,,,,,,
LO 4-1,-45.35,-46.74,49.24,,,,,,,,,,
LO 4-2,-36.07,-59.53,51.87,,,,,,,,,,
LO 4-3,-27.42,-65.93,53.88,,,,,,,,,,
LO 4-4,-14.5,-71.42,55.13,,,,,,,,,,
LO 4-5,-1.71,-73.79,55.51,,,,,,,,,,
LO 4-6,9.2,-73.84,55.88,,,,,,,,,,
LO 4-7,18.74,-72.21,55.38,,,,,,,,,,
LO 4-8,28.39,-68.98,54.13,,,,,,,,,,
LO 4-9,37.92,-63.21,52.5,,,,,,,,,,
LO 4-10,44.32,-55.63,51.5,,,,,,,,,,
CT 4-1,-45.62,-46.6,49.97,,,,,,,,,,
CT 4-2,-36.2,-59.23,53.55,,,,,,,,,,
CT 4-3,-27.48,-65.82,55.42,,,,,,,,,,
CT 4-4,-14.32,-71.08,56.89,,,,,,,,,,
CT 4-5,-1.78,-73.28,57.75,,,,,,,,,,
CT 4-6,9.05,-74.54,58.14,,,,,,,,,,
CT 4-7,18.86,-71.54,57.75,,,,,,,,,,
CT 4-8,28.44,-67.73,57.05,,,,,,,,,,
CT 4-9,38.09,-61.04,55.57,,,,,,,,,,
CT 4-10,44.79,-53.43,53.78,,,,,,,,,,
LO 5-1,0.01,-39.21,90.9,,,,,,,,,,
LO 5-2,0.25,-45.59,87.87,,,,,,,,,,
LO 5-3,0.25,-50.95,84.52,,,,,,,,,,
LO 5-4,0.25,-55.66,80.86,,,,,,,,,,
CT 5-1,-0.7,-40.37,90.95,,,,,,,,,,
CT 5-2,-0.72,-45.75,87.53,,,,,,,,,,
CT 5-3,-0.55,-50.88,84.28,,,,,,,,,,
CT 5-4,-0.62,-55.76,80.81,,,,,,,,,,
LO R2-1,-12.61,-75.83,-24.27,,,,,,,,,,
LO R2-2,-14.85,-74.72,-26.4,,,,,,,,,,
LO R2-3,-16.39,-74.14,-28.36,,,,,,,,,,
LO R2-4,-17.93,-73.57,-30.17,,,,,,,,,,
LO R2-5,-19.84,-72.4,-32.3,,,,,,,,,,
LO R2-6,-21.71,-71.5,-34.74,,,,,,,,,,
LO R2-7,-23.25,-70.8,-36.87,,,,,,,,,,
LO R2-8,-24.37,-70.42,-38.78,,,,,,,,,,
LO R2-9,-25.54,-69.52,-40.53,,,,,,,,,,
LO R2-10,-25.16,-68.85,-42.61,,,,,,,,,,
CT R2-1,-10.48,-70.06,-22.69,,,,,,,,,,
CT R2-2,-12.11,-75.75,-24.9,,,,,,,,,,
CT R2-3,-13.53,-75.39,-26.93,,,,,,,,,,
CT R2-4,-15.02,-75.06,-29.22,,,,,,,,,,
CT R2-5,-16.58,-75.08,-31.58,,,,,,,,,,
CT R2-6,-17.89,-75.37,-33.98,,,,,,,,,,
CT R2-7,-19.45,-75.57,-36.16,,,,,,,,,,
CT R2-8,-20.9,-76,-38.44,,,,,,,,,,
CT R2-9,-22.43,-74.74,-40.69,,,,,,,,,,
CT R2-10,-23.77,-70.13,-43.23,,,,,,,,,,
LO R3-1,-10.18,-76.45,-27.72,,,,,,,,,,
LO R3-2,-11.13,-76.1,-29.26,,,,,,,,,,
LO R3-3,-11.55,-76.23,-30.88,,,,,,,,,,
LO R3-4,-11.76,-76.63,-32.45,,,,,,,,,,
LO R3-5,-12.08,-77.17,-34.03,,,,,,,,,,
LO R3-6,-12.29,-78.03,-35.5,,,,,,,,,,
LO R3-7,-12.5,-78.91,-37.01,,,,,,,,,,
LO R3-8,-12.88,-79.72,-38.52,,,,,,,,,,
LO R3-9,-13.38,-80.62,-40.06,,,,,,,,,,
LO R3-10,-13.87,-80.38,-41.67,,,,,,,,,,
CT R3-1,-6.36,-66.88,-27.12,,,,,,,,,,
CT R3-2,-7.13,-78.06,-28.46,,,,,,,,,,
CT R3-3,-7.55,-77.5,-30.03,,,,,,,,,,
CT R3-4,-8.25,-77.58,-31.93,,,,,,,,,,
CT R3-5,-8.53,-78.04,-33.79,,,,,,,,,,
CT R3-6,-9.06,-78.86,-35.85,,,,,,,,,,
CT R3-7,-9.55,-80.33,-37.75,,,,,,,,,,
CT R3-8,-10.18,-81.54,-39.6,,,,,,,,,,
CT R3-9,-10.43,-81.98,-41.67,,,,,,,,,,
CT R3-10,-11.17,-81.37,-44.2,,,,,,,,,,
LO L2-1,10.87,-75.67,-26.17,,,,,,,,,,
LO L2-2,11.73,-75.22,-28.42,,,,,,,,,,
LO L2-3,12.85,-74.72,-30.26,,,,,,,,,,
LO L2-4,14.63,-74.3,-32.51,,,,,,,,,,
LO L2-5,16.35,-74.04,-34.42,,,,,,,,,,
LO L2-6,18,-73.9,-36.33,,,,,,,,,,
LO L2-7,20.11,-72.02,-38.31,,,,,,,,,,
LO L2-8,20.84,-72.44,-40.69,,,,,,,,,,
LO L2-9,20.84,-71.94,-42.93,,,,,,,,,,
LO L2-10,20.04,-70.35,-45.24,,,,,,,,,,
CT L2-1,10.01,-73.67,-25.98,,,,,,,,,,
CT L2-2,11.26,-75.91,-27.76,,,,,,,,,,
CT L2-3,12.45,-74.85,-30,,,,,,,,,,
CT L2-4,13.9,-74.67,-32.18,,,,,,,,,,
CT L2-5,15.42,-74.75,-34.62,,,,,,,,,,
CT L2-6,17.14,-75.19,-37.32,,,,,,,,,,
CT L2-7,18.99,-74.98,-40.22,,,,,,,,,,
CT L2-8,19.98,-73.45,-42.73,,,,,,,,,,
CT L2-9,21.17,-69.91,-44.78,,,,,,,,,,
CT L2-10,21.96,-65.25,-46.29,,,,,,,,,,
LO L3-1,4.2,-77.17,-27.76,,,,,,,,,,
LO L3-2,4.4,-78.14,-29.34,,,,,,,,,,
LO L3-3,4.6,-77.89,-31.06,,,,,,,,,,
LO L3-4,4.73,-77.94,-32.77,,,,,,,,,,
LO L3-5,4.99,-78.5,-34.49,,,,,,,,,,
LO L3-6,5.46,-79.27,-36.13,,,,,,,,,,
LO L3-7,5.79,-80.32,-37.92,,,,,,,,,,
LO L3-8,6.12,-81.58,-40.03,,,,,,,,,,
LO L3-9,6.18,-82.18,-41.94,,,,,,,,,,
LO L3-10,5.92,-81,-44.18,,,,,,,,,,
CT L3-1,4.73,-77.9,-28.75,,,,,,,,,,
CT L3-2,4.93,-77.65,-30.4,,,,,,,,,,
CT L3-3,5.32,-77.46,-31.72,,,,,,,,,,
CT L3-4,5.39,-77.8,-32.97,,,,,,,,,,
CT L3-5,5.52,-78.36,-34.42,,,,,,,,,,
CT L3-6,5.72,-79.16,-36.13,,,,,,,,,,
CT L3-7,5.85,-80.2,-37.85,,,,,,,,,,
CT L3-8,6.18,-81.37,-39.76,,,,,,,,,,
CT L3-9,6.45,-82.18,-41.87,,,,,,,,,,
CT L3-10,6.71,-81.1,-43.85,,,,,,,,,,
LO 1-1,-38.61,-28.44,76.19,,,,,,,,,,
LO 1-2,-31.27,-38.3,78.33,,,,,,,,,,
LO 1-3,-21.8,-45.77,80.98,,,,,,,,,,
LO 1-4,-11.01,-48.84,83.45,,,,,,,,,,
LO 1-5,-0.13,-50.36,84.74,,,,,,,,,,
LO 1-6,10,-49.45,84.72,,,,,,,,,,
LO 1-7,16.54,-46.55,84.43,,,,,,,,,,
LO 1-8,23.97,-43.38,83.26,,,,,,,,,,
LO 1-9,31.32,-39.27,80.99,,,,,,,,,,
LO 1-10,37.64,-32.54,78.81,,,,,,,,,,
CT 1-1,-38.13,-25.84,78.62,,,,,,,,,,
CT 1-2,-30.19,-35.38,81.04,,,,,,,,,,
CT 1-3,-21.9,-42.1,83.08,,,,,,,,,,
CT 1-4,-10.48,-46.97,84.68,,,,,,,,,,
CT 1-5,-1.09,-48.93,85.55,,,,,,,,,,
CT 1-6,9.61,-47.47,85.68,,,,,,,,,,
CT 1-7,16.2,-44.68,85.3,,,,,,,,,,
CT 1-8,23.75,-40.63,84.46,,,,,,,,,,
CT 1-9,31.39,-33.87,83.21,,,,,,,,,,
CT 1-10,38.87,-23.66,81.03,,,,,,,,,,
LO 2-1,-44.72,-28.63,69.15,,,,,,,,,,
LO 2-2,-32.56,-44.23,73.52,,,,,,,,,,
LO 2-3,-22.68,-52.94,76.18,,,,,,,,,,
LO 2-4,-11.94,-57.84,77.03,,,,,,,,,,
LO 2-5,-0.79,-61.14,75.92,,,,,,,,,,
LO 2-6,7.98,-60.7,76.01,,,,,,,,,,
LO 2-7,19.89,-57.19,75.7,,,,,,,,,,
LO 2-8,28.72,-54.32,73.99,,,,,,,,,,
LO 2-9,36.89,-48.22,71.71,,,,,,,,,,
LO 2-10,43.93,-37.38,69.25,,,,,,,,,,
CT 2-1,-44.53,-32.09,66.97,,,,,,,,,,
CT 2-2,-32.17,-48.63,71.54,,,,,,,,,,
CT 2-3,-22.04,-56.77,73.87,,,,,,,,,,
CT 2-4,-11.83,-60.37,75.05,,,,,,,,,,
CT 2-5,-0.35,-61.32,75.75,,,,,,,,,,
CT 2-6,7.94,-60.83,75.88,,,,,,,,,,
CT 2-7,19.82,-57.17,75.88,,,,,,,,,,
CT 2-8,28.93,-51.95,75.57,,,,,,,,,,
CT 2-9,36.65,-45.74,73.69,,,,,,,,,,
CT 2-10,43.84,-34.61,71.28,,,,,,,,,,
LO 3-1,-45.65,-37.17,61.12,,,,,,,,,,
LO 3-2,-36.52,-50.08,64.16,,,,,,,,,,
LO 3-3,-27.31,-59.31,66,,,,,,,,,,
LO 3-4,-13.93,-65.51,67.7,,,,,,,,,,
LO 3-5,-0.84,-66.74,68.33,,,,,,,,,,
LO 3-6,8.86,-65.78,69.33,,,,,,,,,,
LO 3-7,17.71,-64.57,68.97,,,,,,,,,,
LO 3-8,27.77,-61.06,67.84,,,,,,,,,,
LO 3-9,37.04,-54.47,65.93,,,,,,,,,,
LO 3-10,42.84,-48.1,63.03,,,,,,,,,,
CT 3-1,-45.65,-39.43,59.49,,,,,,,,,,
CT 3-2,-36.23,-52.17,62.89,,,,,,,,,,
CT 3-3,-27.31,-60.07,65.58,,,,,,,,,,
CT 3-4,-13.93,-65.82,67.56,,,,,,,,,,
CT 3-5,-0.84,-67.15,68.19,,,,,,,,,,
CT 3-6,8.93,-66.72,68.48,,,,,,,,,,
CT 3-7,17.92,-65.14,68.41,,,,,,,,,,
CT 3-8,27.91,-61.1,67.84,,,,,,,,,,
CT 3-9,36.76,-54.48,66.5,,,,,,,,,,
CT 3-10,42.7,-46.46,65.01,,,,,,,,,,
LO 5-5,-0.14,-60.02,76.74,,,,,,,,,,
LO 5-6,-0.38,-63.91,72.3,,,,,,,,,,
LO 5-7,-0.69,-67.14,67.87,,,,,,,,,,
LO 5-8,-1.23,-70.02,63.43,,,,,,,,,,
LO 5-9,-1.23,-72.54,59.38,,,,,,,,,,
LO 5-10,-1.31,-73.6,56.04,,,,,,,,,,
CT 5-5,-0.7,-60.29,76.82,,,,,,,,,,
CT 5-6,-0.6,-64.11,72.4,,,,,,,,,,
CT 5-7,-0.55,-67.16,68.19,,,,,,,,,,
CT 5-8,-0.38,-69.42,64.87,,,,,,,,,,
CT 5-9,-0.27,-71.67,61.34,,,,,,,,,,
CT 5-10,-0.41,-73.28,58.08,,,,,,,,,,
